Map_id,Map_type,Map_list_type,Map_name,Map_En_name,Map_En_name1,Map_En_name2,Map_En_name3,task_id_1,map_x,map_y,mapexp,mapmoney,mapexp1,mapmoney1,mapexp2,mapmoney2,mapexp3,mapmoney3,mapexp4,mapmoney4,gold_coinsXP,gold_exchange,gold_coinsXP1,gold_exchange1,gold_coinsXP2,gold_exchange2,gold_coinsXP3,gold_exchange3,gold_coinsXP4,gold_exchange4,map_itme_1,map_itme1,map_itme_2,map_itme2,map_itme_3,map_itme3,map_itme_4,map_itme4,map_itme_5,map_itme5,map_itme_6,map_itme6,map_itme_7,map_itme7,map_itme_8,map_itme8,map_itme_9,map_itme9,map_itme_0,map_itme_10,map_time
101,2,1001,龙神之湖,map03_1_1,map03_1_2,map03_1_3,map03_1_4,1,90,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,5,21000,5,21000,5,21000,5,21000,5,21000,5,21000,5,21000,5,21000,5,21000,5,5
1,1,1001,杰欧姆村,map01_1,map01_2,map01_3,map01_4,0,96,154,100,100,150,150,200,200,250,250,300,300,100,100,150,150,200,200,250,250,300,300,21000,6,21000,6,21000,6,21000,6,21000,6,21000,6,21000,6,21000,6,21000,6,21000,6,5
102,2,1001,密林深处,map09_1_1,map09_1_2,map09_1_3,,1,102,176,200,200,300,300,400,400,500,500,600,600,200,200,300,300,400,400,500,500,600,600,21000,7,21000,7,21000,7,21000,7,21000,7,21000,7,21000,7,21000,7,21000,7,21000,7,5
103,2,1001,密林深处2,,map28_2,,map28_4,1,104,232,400,400,600,600,800,800,1000,1000,1200,1200,400,400,600,600,800,800,1000,1000,1200,1200,21000,8,21000,8,21000,8,21000,8,21000,8,21000,8,21000,8,21000,8,21000,8,21000,8,5
104,2,1001,荒芜洞窟,map30_1,map30_2,,map30_4,1,328,122,800,800,1200,1200,1600,1600,2000,2000,2400,2400,800,800,1200,1200,1600,1600,2000,2000,2400,2400,21000,9,21000,9,21000,9,21000,9,21000,9,21000,9,21000,9,21000,9,21000,9,21000,9,5
105,2,1001,精灵之湖,map03_1_1,map03_1_2,map03_1_3,map03_1_4,1,90,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,10,21000,10,21000,10,21000,10,21000,10,21000,10,21000,10,21000,10,21000,10,21000,10,5
106,2,1001,水晶矿洞,map07_1_1,map07_1_2,map07_1_3,,1,146,176,100,100,150,150,200,200,250,250,300,300,100,100,150,150,200,200,250,250,300,300,21000,11,21000,11,21000,11,21000,11,21000,11,21000,11,21000,11,21000,11,21000,11,21000,11,5
107,2,1001,死亡森林,,map17_2,,map17_4,1,158,222,200,200,300,300,400,400,500,500,600,600,200,200,300,300,400,400,500,500,600,600,21000,12,21000,12,21000,12,21000,12,21000,12,21000,12,21000,12,21000,12,21000,12,21000,12,5
108,2,1001,紫晶之窟,map16_1,map16_2,,map16_4,1,278,176,400,400,600,600,800,800,1000,1000,1200,1200,400,400,600,600,800,800,1000,1000,1200,1200,21000,13,21000,13,21000,13,21000,13,21000,13,21000,13,21000,13,21000,13,21000,13,21000,13,5
109,2,1001,斯特拉隆姆高地,map06_1_1,map06_1_2,map06_1_3,map06_1_4,1,154,122,800,800,1200,1200,1600,1600,2000,2000,2400,2400,800,800,1200,1200,1600,1600,2000,2000,2400,2400,21000,14,21000,14,21000,14,21000,14,21000,14,21000,14,21000,14,21000,14,21000,14,21000,14,5
110,2,1001,秘银矿洞,,map22_2,,,1,208,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,15,21000,15,21000,15,21000,15,21000,15,21000,15,21000,15,21000,15,21000,15,21000,15,5
111,2,1001,鬼嚎森林,map21_1,map21_2,,map21_4,1,174,212,100,100,150,150,200,200,250,250,300,300,100,100,150,150,200,200,250,250,300,300,21000,16,21000,16,21000,16,21000,16,21000,16,21000,16,21000,16,21000,16,21000,16,21000,16,5
112,2,1001,苦痛栈道,map13_1,map13_2,,map13_4,1,200,198,200,200,300,300,400,400,500,500,600,600,200,200,300,300,400,400,500,500,600,600,21000,17,21000,17,21000,17,21000,17,21000,17,21000,17,21000,17,21000,17,21000,17,21000,17,5
2,1,0,雷利镇,map02_1,map02_2,map02_3,,0,240,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
